InvoiceNo,InvoiceDate,StockCode,Description,Quantity,UnitPrice,Revenue,CustomerID,Country
536763,2010-12-02 14:42:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,12,2.95,35.40000000000001,17685,United Kingdom
536787,2010-12-02 15:24:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.55,15.3,17850,United Kingdom
536790,2010-12-02 15:26:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,12,2.95,35.40000000000001,17850,United Kingdom
536795,2010-12-02 15:40:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,15640,United Kingdom
536824,2010-12-02 17:24:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,160,2.55,408.0,13798,United Kingdom
536833,2010-12-02 17:48:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,18239,United Kingdom
536837,2010-12-02 18:15:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,2,2.95,5.9,14395,United Kingdom
536857,2010-12-03 10:33:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,2,2.95,5.9,16883,United Kingdom
536859,2010-12-03 10:43:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,2,2.95,5.9,12841,United Kingdom
536863,2010-12-03 11:19:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,2,2.95,5.9,17967,United Kingdom
536976,2010-12-03 14:18:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,7,2.95,20.65,14723,United Kingdom
536987,2010-12-03 14:54:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,17198,United Kingdom
536993,2010-12-03 15:19:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,1,2.95,2.95,14396,United Kingdom
537044,2010-12-05 10:52:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,18055,United Kingdom
537046,2010-12-05 10:58:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,1,2.95,2.95,18109,United Kingdom
537051,2010-12-05 11:12:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,3,2.95,8.850000000000001,15708,United Kingdom
537051,2010-12-05 11:12:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,2,2.95,5.9,15708,United Kingdom
537054,2010-12-05 11:40:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,2,2.95,5.9,16931,United Kingdom
537054,2010-12-05 11:40:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,1,2.95,2.95,16931,United Kingdom
537055,2010-12-05 11:45:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,16814,United Kingdom
537126,2010-12-05 12:13:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,1,2.95,2.95,18118,United Kingdom
537127,2010-12-05 12:13:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,128,2.55,326.4,13831,United Kingdom
537138,2010-12-05 12:44:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,3,2.95,8.850000000000001,17211,United Kingdom
537144,2010-12-05 13:00:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,1,2.95,2.95,15880,United Kingdom
537210,2010-12-05 15:15:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,15953,United Kingdom
537224,2010-12-05 16:24:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,12,2.95,35.40000000000001,13174,United Kingdom
537239,2010-12-06 10:05:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,18219,United Kingdom
537242,2010-12-06 10:19:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,14748,United Kingdom
537301,2010-12-06 11:38:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,4,2.95,11.8,15860,United Kingdom
537332,2010-12-06 11:58:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,24,2.95,70.80000000000001,14344,United Kingdom
537334,2010-12-06 12:06:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,16719,United Kingdom
537388,2010-12-06 13:35:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,12,2.95,35.40000000000001,17682,United Kingdom
537393,2010-12-06 13:59:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,13089,United Kingdom
537395,2010-12-06 14:05:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,2,2.95,5.9,15356,United Kingdom
537400,2010-12-06 14:36:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,17191,United Kingdom
537419,2010-12-06 15:14:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,13495,United Kingdom
537424,2010-12-06 15:35:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,15602,United Kingdom
537446,2010-12-07 09:13:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,18055,United Kingdom
537457,2010-12-07 09:51:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,17511,United Kingdom
537460,2010-12-07 10:04:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,128,2.55,326.4,17616,United Kingdom
537484,2010-12-07 11:30:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,14733,United Kingdom
537523,2010-12-07 11:45:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,14176,United Kingdom
537604,2010-12-07 13:01:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,13488,United Kingdom
537605,2010-12-07 13:13:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,5,2.95,14.75,16221,United Kingdom
537606,2010-12-07 13:16:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,19,2.95,56.05,15002,United Kingdom
537607,2010-12-07 13:18:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,15965,United Kingdom
537612,2010-12-07 13:28:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,13769,United Kingdom
537619,2010-12-07 13:53:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,13786,United Kingdom
537650,2010-12-07 15:48:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,12,2.95,35.40000000000001,16125,United Kingdom
537655,2010-12-07 16:20:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,15081,United Kingdom
537669,2010-12-08 08:58:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,12,2.95,35.40000000000001,16863,United Kingdom
537674,2010-12-08 09:51:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,15628,United Kingdom
537754,2010-12-08 11:16:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,3,2.95,8.850000000000001,16081,United Kingdom
537755,2010-12-08 11:31:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,16525,United Kingdom
537764,2010-12-08 12:06:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,1,2.95,2.95,16893,United Kingdom
537769,2010-12-08 12:17:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,1,2.95,2.95,15021,United Kingdom
537769,2010-12-08 12:17:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,2,2.95,5.9,15021,United Kingdom
537773,2010-12-08 12:36:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,1,2.95,2.95,16016,United Kingdom
537795,2010-12-08 13:03:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,12,2.95,35.40000000000001,17213,United Kingdom
537828,2010-12-08 14:43:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,12,2.95,35.40000000000001,15680,United Kingdom
537831,2010-12-08 14:50:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,17894,United Kingdom
537842,2010-12-08 15:12:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,5,2.95,14.75,13140,United Kingdom
537843,2010-12-08 15:16:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,12,2.95,35.40000000000001,15713,United Kingdom
537866,2010-12-08 16:45:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,17655,United Kingdom
537867,2010-12-08 16:48:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,12,2.95,35.40000000000001,16717,United Kingdom
537879,2010-12-09 08:34:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,14243,United Kingdom
537898,2010-12-09 10:42:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,10,2.95,29.5,17377,United Kingdom
537955,2010-12-09 11:28:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,14,2.95,41.3,16782,United Kingdom
537963,2010-12-09 11:30:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,12,2.95,35.40000000000001,13369,United Kingdom
538006,2010-12-09 12:13:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,14987,United Kingdom
538032,2010-12-09 12:59:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,14479,United Kingdom
538035,2010-12-09 13:03:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,8,2.95,23.6,16065,United Kingdom
538053,2010-12-09 13:34:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,15856,United Kingdom
538064,2010-12-09 13:47:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,8,2.95,23.6,15271,United Kingdom
538065,2010-12-09 13:57:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,13982,United Kingdom
538086,2010-12-09 14:44:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,14,2.95,41.3,12872,United Kingdom
538095,2010-12-09 14:55:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,1,2.95,2.95,17097,Spain
538145,2010-12-09 16:08:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,15211,United Kingdom
538157,2010-12-09 16:57:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,4,2.95,11.8,17576,United Kingdom
538166,2010-12-09 18:09:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,3,2.95,8.850000000000001,17965,United Kingdom
538176,2010-12-10 09:48:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,64,2.55,163.2,17675,United Kingdom
538182,2010-12-10 10:18:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,17827,United Kingdom
538186,2010-12-10 10:26:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,12,2.95,35.40000000000001,13000,United Kingdom
538190,2010-12-10 10:47:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,5,2.95,14.75,17790,United Kingdom
538198,2010-12-10 11:01:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,3,2.95,8.850000000000001,17827,United Kingdom
538248,2010-12-10 12:14:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,4,2.95,11.8,18116,United Kingdom
538250,2010-12-10 12:20:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,8,2.95,23.6,18118,United Kingdom
538252,2010-12-10 12:29:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,16019,United Kingdom
538260,2010-12-10 12:42:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,18178,United Kingdom
538296,2010-12-10 13:06:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,13148,United Kingdom
538312,2010-12-10 13:48:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,16727,United Kingdom
538370,2010-12-12 11:06:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,3,2.95,8.850000000000001,16923,United Kingdom
538374,2010-12-12 11:17:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,2,2.95,5.9,14159,United Kingdom
538379,2010-12-12 11:26:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,1,2.95,2.95,17126,United Kingdom
538379,2010-12-12 11:26:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,2,2.95,5.9,17126,United Kingdom
538403,2010-12-12 11:46:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,17211,United Kingdom
538437,2010-12-12 12:18:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,3,2.95,8.850000000000001,16010,United Kingdom
538449,2010-12-12 12:24:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,17085,United Kingdom
538473,2010-12-12 12:35:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,3,2.95,8.850000000000001,13668,United Kingdom
538497,2010-12-12 12:44:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,1,2.95,2.95,14684,United Kingdom
538508,2010-12-12 13:32:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,15998,United Kingdom
538514,2010-12-12 14:27:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,15044,United Kingdom
538518,2010-12-12 16:14:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,3,2.95,8.850000000000001,14505,United Kingdom
538529,2010-12-13 10:24:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,12,2.95,35.40000000000001,14290,United Kingdom
538532,2010-12-13 10:31:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,13209,United Kingdom
538533,2010-12-13 10:31:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,14796,United Kingdom
538592,2010-12-13 11:47:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,4,2.95,11.8,15854,United Kingdom
538596,2010-12-13 12:10:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,17990,United Kingdom
538626,2010-12-13 12:57:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,13,2.95,38.35,17338,United Kingdom
538634,2010-12-13 13:28:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,4,2.95,11.8,14085,United Kingdom
538635,2010-12-13 13:32:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,2,2.95,5.9,17303,United Kingdom
538641,2010-12-13 14:36:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,15640,United Kingdom
538664,2010-12-13 15:46:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,64,2.55,163.2,14733,United Kingdom
538671,2010-12-13 16:38:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,15777,United Kingdom
538683,2010-12-13 17:40:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,96,2.55,244.8,14525,United Kingdom
538707,2010-12-14 10:38:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,5,2.95,14.75,17894,United Kingdom
538710,2010-12-14 10:48:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,12,2.95,35.40000000000001,18075,United Kingdom
538744,2010-12-14 11:26:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,4,2.95,11.8,15356,United Kingdom
538799,2010-12-14 11:48:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,4,2.95,11.8,15039,United Kingdom
538800,2010-12-14 11:51:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,16458,United Kingdom
538826,2010-12-14 12:58:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,64,2.55,163.2,12370,Cyprus
538827,2010-12-14 12:59:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,14298,United Kingdom
538832,2010-12-14 13:03:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,17158,United Kingdom
538849,2010-12-14 13:31:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,10,2.95,29.5,14415,United Kingdom
538851,2010-12-14 13:32:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,16556,United Kingdom
538852,2010-12-14 13:33:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,10,2.95,29.5,17372,United Kingdom
538910,2010-12-15 10:54:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,17454,United Kingdom
538942,2010-12-15 11:14:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,1,2.95,2.95,17346,United Kingdom
538951,2010-12-15 11:26:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,4,2.95,11.8,16782,United Kingdom
538991,2010-12-15 11:53:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,17511,United Kingdom
538995,2010-12-15 12:05:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,13458,United Kingdom
539007,2010-12-15 13:00:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,17894,United Kingdom
539010,2010-12-15 13:24:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,2,2.95,5.9,15005,United Kingdom
539019,2010-12-15 14:12:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,4,2.95,11.8,17551,United Kingdom
539030,2010-12-15 14:25:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,24,2.95,70.80000000000001,13089,United Kingdom
539034,2010-12-15 14:29:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,1,2.95,2.95,16161,United Kingdom
539079,2010-12-16 08:39:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,12,2.95,35.40000000000001,17496,United Kingdom
539088,2010-12-16 09:45:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,13093,United Kingdom
539089,2010-12-16 09:46:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,15246,United Kingdom
539103,2010-12-16 10:38:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,96,2.55,244.8,16985,United Kingdom
539105,2010-12-16 10:43:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,12,2.95,35.40000000000001,14825,United Kingdom
539109,2010-12-16 11:07:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,500,2.55,1275.0,16013,United Kingdom
539196,2010-12-16 12:09:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,12,2.95,35.40000000000001,18055,United Kingdom
539212,2010-12-16 12:20:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,17146,United Kingdom
539225,2010-12-16 13:02:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,12,2.95,35.40000000000001,15379,United Kingdom
539243,2010-12-16 13:21:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,4,2.95,11.8,18116,United Kingdom
539282,2010-12-16 15:45:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,12,2.95,35.40000000000001,16770,United Kingdom
539283,2010-12-16 15:47:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,12,2.95,35.40000000000001,14092,United Kingdom
539290,2010-12-16 16:36:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,16271,United Kingdom
539314,2010-12-16 18:20:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,13874,United Kingdom
539317,2010-12-16 19:04:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,4,2.95,11.8,17392,United Kingdom
539317,2010-12-16 19:04:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,3,2.95,8.850000000000001,17392,United Kingdom
539320,2010-12-16 19:16:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,24,2.95,70.80000000000001,14911,EIRE
539321,2010-12-16 19:19:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,2,2.95,5.9,14723,United Kingdom
539321,2010-12-16 19:19:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,3,2.95,8.850000000000001,14723,United Kingdom
539325,2010-12-17 08:20:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,13004,United Kingdom
539353,2010-12-17 11:30:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,12782,Portugal
539414,2010-12-17 13:45:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,3,2.95,8.850000000000001,16931,United Kingdom
539439,2010-12-17 15:14:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,13869,United Kingdom
539450,2010-12-17 16:53:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,15570,United Kingdom
539454,2010-12-17 17:12:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,5,2.95,14.75,17377,United Kingdom
539470,2010-12-19 14:03:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,2,2.95,5.9,14472,United Kingdom
539471,2010-12-19 14:16:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,2,2.95,5.9,17358,United Kingdom
539477,2010-12-19 14:58:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,18245,United Kingdom
539484,2010-12-19 15:44:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,15640,United Kingdom
539501,2010-12-20 11:08:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,17085,United Kingdom
539580,2010-12-20 12:51:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,12,2.95,35.40000000000001,15312,United Kingdom
539587,2010-12-20 13:10:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,14298,United Kingdom
539588,2010-12-20 13:11:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,1,2.95,2.95,14527,United Kingdom
539590,2010-12-20 13:21:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,14733,United Kingdom
539658,2010-12-21 09:34:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,17213,United Kingdom
539722,2010-12-21 13:45:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,24,2.95,70.80000000000001,14911,EIRE
539730,2010-12-21 14:54:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,13487,United Kingdom
539826,2010-12-22 12:39:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,13,2.95,38.35,15044,United Kingdom
539835,2010-12-22 13:39:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,16477,United Kingdom
539836,2010-12-22 13:46:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,5,2.95,14.75,17894,United Kingdom
539867,2010-12-23 10:38:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,13922,United Kingdom
539920,2010-12-23 11:06:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,4,2.95,11.8,14085,United Kingdom
539985,2010-12-23 15:16:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,15856,United Kingdom
539988,2010-12-23 16:06:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,5,2.95,14.75,18116,United Kingdom
539993,2011-01-04 10:00:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,12,2.95,35.40000000000001,13313,United Kingdom
540014,2011-01-04 11:34:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,6,2.95,17.7,14606,United Kingdom
540016,2011-01-04 11:42:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,10,2.95,29.5,16282,United Kingdom
540033,2011-01-04 14:12:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,13680,United Kingdom
540043,2011-01-04 14:21:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,4,2.95,11.8,15164,United Kingdom
540098,2011-01-04 15:50:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,2,2.95,5.9,16241,United Kingdom
540120,2011-01-05 10:08:00,85123A,CREAM HANGING HEART T-LIGHT HOLDER,32,2.55,81.6,17675,United Kingdom
